"trait","model","index","beta","se","lower95","upper95","n","p_val","outcome","strata","p_label","batch"
"sdbpc1_mrs","mdl1_both_covar","5",0.19688805141171,0.065,0.0694880514117098,0.32428805141171,960,0.00261424461675995,"sdb_pc2","female","**","batch_2"
"sdbpc1_mrs","mdl2_both_covar","6",0.208834684698741,0.061,0.0892746846987413,0.328394684698741,950,0.000617082930961388,"sdb_pc2","female","***","batch_2"
"sex_sdbpc1_mrs","mdl1_both_covar","7",0.217677941202871,0.056,0.107917941202871,0.327437941202871,960,0.000114975225755048,"sdb_pc2","female","***","batch_2"
"sex_sdbpc1_mrs","mdl2_both_covar","8",0.219714448153688,0.054,0.113874448153688,0.325554448153688,950,0.0000469863508446493,"sdb_pc2","female","***","batch_2"
"sex_sdbpc2_mrs","mdl1_both_covar","9",0.0257847731175836,0.059,-0.0898552268824164,0.141424773117584,960,0.660782550998851,"sdb_pc2","female","","batch_2"
"sex_sdbpc2_mrs","mdl2_both_covar","10",0.0347634431256893,0.051,-0.0651965568743107,0.134723443125689,950,0.491767887392105,"sdb_pc2","female","","batch_2"
"sdbpc2_mrs","mdl1_both_covar","11",0.13464453960653,0.065,0.00724453960652963,0.26204453960653,960,0.0372551482076373,"sdb_pc2","female","*","batch_2"
"sdbpc2_mrs","mdl2_both_covar","12",0.126004705527558,0.056,0.0162447055275577,0.235764705527558,950,0.0249716273447428,"sdb_pc2","female","*","batch_2"
"osa_lasso_mrs","mdl1_both_covar","13",0.144062307182571,0.049,0.0480223071825715,0.240102307182571,960,0.0034365364007466,"sdb_pc2","female","**","batch_2"
"osa_lasso_mrs","mdl2_both_covar","14",0.124865920610159,0.048,0.030785920610159,0.218945920610159,950,0.00900830290072744,"sdb_pc2","female","**","batch_2"
"REI3","mdl1_both_covar","1",0.468911199754609,0.043,0.384631199754609,0.553191199754609,562,0.000000000000000000000000000384560673554777,"sdb_pc1","male","***","batch_2"
"REI3","mdl2_both_covar","2",0.46528832411799,0.042,0.38296832411799,0.54760832411799,550,0.0000000000000000000000000000760351317116908,"sdb_pc1","male","***","batch_2"
"log_HB","mdl1_both_covar","3",0.962905122491107,0.034,0.896265122491107,1.02954512249111,562,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000257799940440272,"sdb_pc1","male","***","batch_2"
"log_HB","mdl2_both_covar","4",0.9734717507077,0.031,0.9127117507077,1.0342317507077,550,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000285871984181768,"sdb_pc1","male","***","batch_2"
"sdbpc1_mrs","mdl1_both_covar","5",0.202104089170029,0.053,0.0982240891700286,0.305984089170029,562,0.000136533052135347,"sdb_pc1","male","***","batch_2"
"sdbpc1_mrs","mdl2_both_covar","6",0.20251082436361,0.05,0.10451082436361,0.30051082436361,550,0.0000550075464010778,"sdb_pc1","male","***","batch_2"
"sex_sdbpc1_mrs","mdl1_both_covar","7",0.125018647647385,0.041,0.0446586476473855,0.205378647647386,562,0.00220631588001946,"sdb_pc1","male","**","batch_2"
"sex_sdbpc1_mrs","mdl2_both_covar","8",0.126559828377523,0.042,0.0442398283775235,0.208879828377523,550,0.00263437440970164,"sdb_pc1","male","**","batch_2"
"sex_sdbpc2_mrs","mdl1_both_covar","9",0.0993979131613018,0.044,0.0131579131613018,0.185637913161302,562,0.0250008605636567,"sdb_pc1","male","*","batch_2"
"sex_sdbpc2_mrs","mdl2_both_covar","10",0.10004882650682,0.045,0.0118488265068204,0.18824882650682,550,0.0257341344656782,"sdb_pc1","male","*","batch_2"
"sdbpc2_mrs","mdl1_both_covar","11",0.121110938436208,0.052,0.0191909384362079,0.223030938436208,562,0.0193698516347345,"sdb_pc1","male","*","batch_2"
"sdbpc2_mrs","mdl2_both_covar","12",0.136883692859194,0.048,0.0428036928591936,0.230963692859194,550,0.0041458792596728,"sdb_pc1","male","**","batch_2"
